candidate_id,arrival_ts,got_reg_ts,release_reg_ts,got_screening_staff_ts,release_screening_staff_ts,got_interviewer_ts,release_interviewer_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts
324,125.81034606788809,164.61206235223904,164.91723044181202,214.35999996364444,216.39555208460212,400.6789711944691,418.468793853562,418.468793853562,419.0375668287028,429.59998977078556
326,127.10771523624301,165.16198471583115,167.56365469176103,217.71436332513446,219.60972198894945,402.8675832970649,419.46057461107705,,,429.67380643683873
331,130.60152275087074,168.38054861263404,168.51399186608992,219.60972198894945,220.8487409695621,406.28351152318993,421.5605880977114,421.5605880977114,422.7581809009222,431.6982168323669
328,127.59336823822841,166.24099810409726,168.38054861263404,218.99748185242473,221.35699401399336,407.4898355177277,422.91951737611043,,,433.9160606114837
330,129.76079202457913,167.75592102755985,168.54261565684203,220.78024904413067,222.67137622473948,412.46948147104206,426.81624664192634,426.81624664192634,427.53304399384274,436.88414799919667
336,132.80091804467082,169.89779268023105,171.18554329292397,223.1553825789238,224.62390977875705,413.21862899608567,427.15095468465984,,,437.5192520138772
333,131.2386131109888,168.54261565684203,169.35051400638923,221.35699401399336,222.27804684130504,411.3754959804623,427.58827108210494,427.58827108210494,428.86905208118833,437.8535335606183
332,130.6677366690333,168.51399186608992,169.2800774824634,220.8487409695621,223.1553825789238,412.80637064442703,427.35172215219217,427.35172215219217,428.57155756705896,438.2090868571209
334,131.33302170494517,169.2800774824634,169.89779268023105,222.27804684130504,225.27554560601195,415.66482145451994,430.52236035329446,,,440.86036344133385
335,131.84426966720685,169.35051400638923,170.48498265431877,222.67137622473948,225.46222466521445,415.9575363848913,432.1227613497612,,,442.6099552132275
338,134.180951219061,171.18554329292397,174.03138470204638,225.46222466521445,226.01649094176656,417.71869805023937,433.2165431960386,,,444.05004587164575
343,135.14041156856544,175.37081790090812,175.52683129565636,227.1258938954897,228.47946535632525,419.46057461107705,434.398699630076,434.398699630076,435.5828373697603,444.94808973714845
337,133.05104579746663,170.48498265431877,173.697980742184,224.62390977875705,226.76504070855415,418.468793853562,435.0003079851256,,,445.3279950670362
339,134.2167780056707,173.697980742184,173.8802357455193,225.27554560601195,227.1258938954897,418.96345427152437,434.775346975585,,,445.49806410558364
341,134.89826124643332,174.03138470204638,175.0073337755287,226.01649094176656,228.7725815289453,421.5605880977114,437.47343660281393,,,448.09713334362453
342,135.11712936990455,175.0073337755287,175.37081790090812,226.76504070855415,229.49219191744305,422.91951737611043,438.3234293607582,438.3234293607582,439.30221988714925,448.6445461643889
344,135.3545035844424,175.52683129565636,177.1309781516059,228.47946535632525,230.25390915677883,426.81624664192634,440.2838336569365,440.2838336569365,441.3684250309159,450.3222410875352
345,135.79980023082243,177.1309781516059,177.87408167300399,228.7725815289453,230.93624318553162,427.15095468465984,440.7674127507839,,,450.8246199539523
340,134.74947168526742,173.8802357455193,178.71764848217012,230.25390915677883,231.777661199293,427.58827108210494,441.9313050700211,,,452.1422128746851
346,135.8596728504617,177.87408167300399,178.12775670627119,229.49219191744305,231.55481066442968,427.35172215219217,443.43045549040363,,,453.7118069708453
350,138.81047147558536,179.03257080660333,179.06097842325545,231.777661199293,233.48436482505545,430.52236035329446,445.3720461618213,,,456.35517351035065
348,137.24788950236174,178.71764848217012,179.03257080660333,231.55481066442968,234.30750149967955,433.2165431960386,447.05964243917845,447.05964243917845,448.2432345462591,457.5492609158338
352,139.80528956030287,179.17195403115124,179.2055027340519,233.54568295529992,235.89969247327204,434.775346975585,448.5800932577298,,,458.9837920313365
347,136.40701937049445,178.12775670627119,178.99359943182012,230.93624318553162,233.54568295529992,432.1227613497612,448.0475051874509,448.0475051874509,448.62869241754015,459.2571423085619
353,140.25518491810743,179.2055027340519,180.32338729948026,234.4889104968986,236.21728820869086,435.0003079851256,449.18953941522415,449.18953941522415,450.50070802206415,459.65543038985993
349,137.47832437865063,178.99359943182012,179.17195403115124,233.48436482505545,234.4889104968986,434.398699630076,449.9623762687173,,,461.4235455294425
355,141.78618134835958,180.32338729948026,182.78757613787107,235.89969247327204,237.84459421740183,438.3234293607582,452.94055060661844,,,463.3019744736168
351,139.58762961561766,179.06097842325545,180.08026930548832,234.30750149967955,236.7500005144854,437.47343660281393,454.091195789885,,,465.6156336657517
