ts,occ,scenario,rep_num
900.9012433367812,25.0,base_r3s4i18s2,1
901.4137808345981,24.0,base_r3s4i18s2,1
901.4137808345981,25.0,base_r3s4i18s2,1
901.4282620628832,24.0,base_r3s4i18s2,1
901.4282620628832,25.0,base_r3s4i18s2,1
903.2201585068873,24.0,base_r3s4i18s2,1
903.2201585068873,25.0,base_r3s4i18s2,1
904.4009446902683,24.0,base_r3s4i18s2,1
904.4009446902683,25.0,base_r3s4i18s2,1
904.8295033698208,24.0,base_r3s4i18s2,1
904.8295033698208,25.0,base_r3s4i18s2,1
905.4444161377642,24.0,base_r3s4i18s2,1
905.4444161377642,25.0,base_r3s4i18s2,1
905.4504330272155,24.0,base_r3s4i18s2,1
905.4504330272155,25.0,base_r3s4i18s2,1
905.5456230037859,24.0,base_r3s4i18s2,1
905.5456230037859,25.0,base_r3s4i18s2,1
905.8293700853308,24.0,base_r3s4i18s2,1
905.8293700853308,25.0,base_r3s4i18s2,1
906.9177519717426,24.0,base_r3s4i18s2,1
906.9177519717426,25.0,base_r3s4i18s2,1
907.2119158292363,24.0,base_r3s4i18s2,1
907.2119158292363,25.0,base_r3s4i18s2,1
907.3866223942982,24.0,base_r3s4i18s2,1
907.3866223942982,25.0,base_r3s4i18s2,1
908.0133323929368,24.0,base_r3s4i18s2,1
908.0133323929368,25.0,base_r3s4i18s2,1
909.2055344060891,24.0,base_r3s4i18s2,1
909.2055344060891,25.0,base_r3s4i18s2,1
910.3739842733874,24.0,base_r3s4i18s2,1
910.3739842733874,25.0,base_r3s4i18s2,1
911.0402328099856,24.0,base_r3s4i18s2,1
911.0402328099856,25.0,base_r3s4i18s2,1
911.1102745320482,24.0,base_r3s4i18s2,1
911.1102745320482,25.0,base_r3s4i18s2,1
911.2372582671436,24.0,base_r3s4i18s2,1
911.2372582671436,25.0,base_r3s4i18s2,1
911.6074879500999,24.0,base_r3s4i18s2,1
911.6074879500999,25.0,base_r3s4i18s2,1
911.63918106626,24.0,base_r3s4i18s2,1
911.63918106626,25.0,base_r3s4i18s2,1
911.7136519240387,24.0,base_r3s4i18s2,1
911.7136519240387,25.0,base_r3s4i18s2,1
912.6786491652912,24.0,base_r3s4i18s2,1
912.6786491652912,25.0,base_r3s4i18s2,1
912.975461358986,24.0,base_r3s4i18s2,1
912.975461358986,25.0,base_r3s4i18s2,1
914.6313938566158,24.0,base_r3s4i18s2,1
914.6313938566158,25.0,base_r3s4i18s2,1
915.1786660666932,24.0,base_r3s4i18s2,1
915.1786660666932,25.0,base_r3s4i18s2,1
916.2551670125831,24.0,base_r3s4i18s2,1
916.2551670125831,25.0,base_r3s4i18s2,1
916.6647867998194,24.0,base_r3s4i18s2,1
916.6647867998194,25.0,base_r3s4i18s2,1
918.2901200852988,24.0,base_r3s4i18s2,1
918.2901200852988,25.0,base_r3s4i18s2,1
919.0691282814884,24.0,base_r3s4i18s2,1
919.0691282814884,25.0,base_r3s4i18s2,1
919.7393551297743,24.0,base_r3s4i18s2,1
919.7393551297743,25.0,base_r3s4i18s2,1
920.1267974372273,24.0,base_r3s4i18s2,1
920.1267974372273,25.0,base_r3s4i18s2,1
920.4848315063558,24.0,base_r3s4i18s2,1
920.4848315063558,25.0,base_r3s4i18s2,1
921.2923842201151,24.0,base_r3s4i18s2,1
921.2923842201151,25.0,base_r3s4i18s2,1
